GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testMaven,fr.epsi.testmaven,Compte,2,18,1,1,1,7,1,5,0,5
testMaven,com.froyo,Trivia,309,367,36,16,36,54,26,11,1,10
